Timestamp,Demand_MW,Wind_MW,Solar_MW,Hydro_MW,Nuclear_MW,Fossil_MW,CO2_kg
2024-01-01 00:00:00,5079.1,383.05,0.0,229.2,296.75,4170.11,3961602.95
2024-01-01 01:00:00,5236.71,370.25,39.16,242.09,301.58,4283.63,4069447.2
2024-01-01 02:00:00,5723.29,431.11,77.65,260.56,308.54,4645.44,4413167.49
2024-01-01 03:00:00,5571.95,341.11,114.81,249.57,295.49,4570.97,4342420.77
2024-01-01 04:00:00,5751.51,426.08,150.0,261.8,309.56,4604.06,4373859.25
2024-01-01 05:00:00,5758.82,431.74,182.63,244.02,306.0,4594.44,4364714.73
2024-01-01 06:00:00,5200.95,370.05,212.13,257.33,306.85,4054.59,3851857.52
2024-01-01 07:00:00,4983.15,373.29,238.01,243.13,301.54,3827.18,3635818.77
2024-01-01 08:00:00,4836.76,398.05,259.81,240.69,305.86,3632.35,3450731.41
2024-01-01 09:00:00,4661.78,419.13,277.16,249.32,294.96,3421.22,3250155.19
2024-01-01 10:00:00,4561.92,402.6,289.78,243.79,296.66,3329.1,3162640.63
2024-01-01 11:00:00,4834.5,426.93,297.43,235.05,303.83,3571.26,3392697.65
2024-01-01 12:00:00,4893.77,480.97,300.0,248.7,301.48,3562.62,3384487.05
2024-01-01 13:00:00,5219.71,391.01,297.43,251.63,299.26,3980.38,3781359.83
2024-01-01 14:00:00,5191.07,343.58,289.78,263.29,287.49,4006.93,3806584.86
2024-01-01 15:00:00,5442.86,446.09,277.16,260.02,297.82,4161.76,3953674.71
2024-01-01 16:00:00,5094.88,481.25,259.81,262.9,294.13,3796.8,3606955.26
2024-01-01 17:00:00,4928.02,430.49,238.01,257.95,302.47,3699.11,3514150.21
2024-01-01 18:00:00,4781.35,372.13,212.13,254.11,299.04,3643.93,3461734.06
2024-01-01 19:00:00,4337.14,411.55,182.63,238.54,296.86,3207.56,3047182.33
2024-01-01 20:00:00,4329.93,372.62,150.0,252.37,313.21,3241.72,3079630.18
2024-01-01 21:00:00,4418.58,443.94,114.81,256.88,305.19,3297.76,3132876.25
2024-01-01 22:00:00,4256.24,365.03,77.65,265.53,305.28,3242.75,3080612.95
2024-01-01 23:00:00,4690.82,407.93,39.16,257.87,311.01,3674.85,3491108.29
2024-01-02 00:00:00,5025.99,380.62,0.0,263.45,304.01,4077.91,3874013.4
2024-01-02 01:00:00,5405.83,426.72,39.16,240.77,296.15,4403.04,4182885.49
2024-01-02 02:00:00,5459.32,407.84,77.65,247.87,295.56,4430.4,4208879.95
2024-01-02 03:00:00,5580.09,430.42,114.81,255.47,304.82,4474.57,4250841.98
2024-01-02 04:00:00,5745.01,425.09,150.0,262.83,289.7,4617.39,4386524.41
2024-01-02 05:00:00,5569.48,385.57,182.63,249.81,299.61,4451.85,4229259.73
2024-01-02 06:00:00,5325.05,450.96,212.13,250.48,289.14,4122.33,3916215.18
2024-01-02 07:00:00,5074.42,424.77,238.01,258.22,300.49,3852.93,3660279.28
